"Product Name",Completed,Brand,Stage,"Next Action",Type,Sampling,"Stage Entered Date","Packaging Status","AMZ Listing","Listing Notes",Assignee,"Due Date","MISC Documents",SPEC,Proposal,PWF,"Print Files","Packaging Mockups","PDP Link","GV Label Link","GV Box Link","Uploaded to GV","Spec Status","R&D Recommendation","Parked Code","Parked Reason","Hold Reason","Sampling Quotes Status","Purchasing Status"
"HL657 - Biotin + Collagen Drops",false,DON,":gear: In Production",,":droplet: Supplement / Liquid",Approved,,"In Progress",Listed/Pending,":hourglass_flowing_sand: ASIN B0GTS1Q886 - Inactive/Blocked/Processing (waiting for Amazon to clear)
:white_check_mark: UPC 850076186807
:white_check_mark: KW list + draft copies",,,,F0APX32HA8Y,F0AKPC2TFSA,F0B1695M2EN,"F0AL425PPAQ,F0AKYCTN5JS,F0ALUNK01DW",,,"{""originalUrl"":""https:\/\/app.govisually.com\/collab\/646d2b0cf8569400143a1a22\/69b444193979dd00153718d4"",""attachment"":{},""displayAsUrl"":false}","{""originalUrl"":""https:\/\/app.govisually.com\/collab\/646d2b0cf8569400143a1a22\/69b444283979dd0015371ae7"",""attachment"":{},""displayAsUrl"":false}",true,":lock: Locked",":white_check_mark: *Proceed*",,,,":black_square_button: Not Started",":black_square_button: Not Started"
"Liver Cleanse Detox w/ Lymphatic Drainage",false,DON,":double_vertical_bar: Hold",,":pill: Supplement / Capsule",,,,,,,,,,,,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HCR6458 - Magnesium Cream w/ Anti-Aging",false,DON,Procurement,,":sake: Topical",Requested,,"In Progress",Approved,":white_check_mark: ASIN B0GLJ44RTF
:white_check_mark: UPC 850076186692

• Product Name: Magnesium Cream (Spec Sheet)
• Amazon Market Validation: Here
• Supp Facts Panel: Here
• Ingredients to Order: Effepharm, JiaHerb
• Packaging Copy: Here
• Amazon Compliance Response: Cleared inactive/blocked/processing phase; new listing reactivated – PDP
• Listing Content: link",,,"F0AHMJE5ESK,F0AJXABFM5W,F0AJFV874HX,F0AJ6L20LR2,F0AHMJGHQDV,F0AJ6L2SSN8,F0AJFVAMU65,F0AHZKESUP7,F0AJFVBRNAD,F0AHWLAC1EX",,,F0AM06AF12Q,,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GLJ44RTF"",""attachment"":{},""displayAsUrl"":false}",,,false,,":white_check_mark: *Proceed*",,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HL432 - Lymphatic Drainage Drops",false,DON,":gear: In Production",,":droplet: Supplement / Liquid",Approved,,"In Progress",Approved,":white_check_mark: ASIN B0GMSK7ZHQ
:white_check_mark: UPC 850076186746",,,"F0AHWLPGHM1,F0AKP9TH516",F0AMFA0817H,F0AKP9B5ZDE,F0B168A5EM8,"F0AL40XA6N8,F0ALUNCTCGY,F0ALUNP9S56",,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GMSK7ZHQ"",""attachment"":{},""displayAsUrl"":false}","{""originalUrl"":""https:\/\/app.govisually.com\/collab\/646d2b0cf8569400143a1a22\/69b44396537a520015c0930a"",""attachment"":{},""displayAsUrl"":false}","{""originalUrl"":""https:\/\/app.govisually.com\/collab\/646d2b0cf8569400143a1a22\/69b443e1a1ac23001555685c"",""attachment"":{},""displayAsUrl"":false}",true,":lock: Locked",":white_check_mark: *Proceed*",,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HG135 - Calm Hair, Skin & Nail Gummies",false,DON,":microscope: Niche Analysis",,":bear: Supplement / Gummy",,,"Not Started",Approved,":white_check_mark: ASIN B0GN3T8DW5
:white_check_mark: UPC 850076186678",,,"F0AJG1H6A8H,F0AJ6MRFZJQ,F0AHWMXEZ43,F0AJG1LG4GZ,F0AJ3455R7C,F0AJ345ULJW,F0AHWN19AP5,F0AJ6MWMJS0,F0AJ6MXLW6Q",,F0AUHC7BT6V,,,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GN3T8DW5"",""attachment"":{},""displayAsUrl"":false}",,,false,,":white_check_mark: *Proceed*",,,,":black_square_button: Not Started",":black_square_button: Not Started"
"H-4218 - Liposomal NAD+ Cellular Renewal Drops",false,,":double_vertical_bar: Hold",,,,,,,,,,,,,,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"H4213 - Cell Peak NMNH Longevity Complex",false,,":double_vertical_bar: Hold",,,,,,,"NMNH is blowing up. It’s already at a scale comparable to NAD+. However, for a keyword this large in search volume, competitors are underperforming, and demand is not translating into the level of sales you would expect. This keyword also started gaining momentum around 3 months ago which leaves plenty of room for new sellers to enter and get their sales ramping up, especially since the average capsule supplement lead time is roughly 2–3 months as well. But this wasn’t the case here.
My best guess is that consumers are searching for a reduced form of NMN -> NMNH. But, they end up purchasing NMN supplements instead because they are much more well-positioned than NMNH. This is why the better opportunity right now remains NAD+ and NMN, not NMNH.",,,F0AJXCQ0XUG,,,,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"H280 - Magnesium Gummy",false,,":no_entry_sign: Parked",,":green_salad: Food",,,,,"We will need to drop this product. Magnesium sulphate and magnesium chloride are the only forms that can be spray-coated. Magnesium sulphate functions as a laxative, while magnesium chloride is primarily used as a bath salt and is not ideal for a food product. Magnesium citrate from TopGUM is also not viable, as citrate is not GRAS for use in conventional food products. This also means that we won’t be able to use Magnesium for any of our spray-coated gummy SKUs in future.",,,,,,,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"KALMWAVE™ Cortisol Calm Drops",false,,":no_entry_sign: Parked",,,,,,,"The keyword spike is coming from kava’s rapid adoption as an alcohol alternative. Millennials and Gen Z are actively replacing alcohol with functional drinks, and kava is being consumed primarily in ready-to-drink and bar-style formats, not as a traditional supplement like drops, capsules, powders, or gummies. That beverage-driven shift is what’s driving the search volume increase.",,,F0AHZNXJA2H,,,,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"CHILL BITES",false,,":no_entry_sign: Parked",,,,,,,,,,F0AJG3JR2AV,,,,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"Magnesium Glycinate Calm Powder",false,,":double_vertical_bar: Hold",,":rice: Supplement / Powder",,,,,"Did a quick dive in the niche again. This space is extremely concentrated now, with just 2 brands (Nello and Nature Vitality) controlling over 90% of the market share. Leading with a Magnesium Calm Powder positioning would be a dead end. Additionally, our current “Yerba Mate” differentiator isn’t strong enough to realistically capture meaningful share in such a dominated market.",,,,,,,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"Kids Magnesium Drops",false,,":double_vertical_bar: Hold",,":green_salad: Food",,,,,,,,,,,,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"Shilajit Gummies",false,,":double_vertical_bar: Hold",,":pill: Supplement / Capsule",,,,,,,,,,,,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HP206 - Mushroom Focus Coffee",false,PN,":gear: In Production",,":green_salad: Food",Approved,,"In Progress",Approved,":white_check_mark: ASIN B0GGKQSK38
:white_check_mark: UPC 850076186647",,,"F0AJ6HQFXDJ,F0AJ0TLF4JJ,F0AJ0TMEF3Q,F0AJ304VBK4,F0AJ6HVUP0C,F0AHZH89W0M,F0AJ6HXR04C",F0AMECMGUHM,,,F0AMPGB3J6P,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GGKQSK38"",""attachment"":{},""displayAsUrl"":false}",,,true,":lock: Locked",":white_check_mark: *Proceed*",,,,":black_square_button: Not Started",":black_square_button: Not Started"
"Kids Magnesium Gummies",false,,":no_entry_sign: Parked",,":pill: Supplement / Capsule",,,,,,,,,,,,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"NAD+ Burn Capsules",false,DON,":double_vertical_bar: Hold",,":pill: Supplement / Capsule",,,,,,,,,,,,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HC305 - Aged Garlic Extract with CoQ10",false,DON,":no_entry_sign: Parked",,":pill: Supplement / Capsule","Not Started",,"Not Started","Not Started",":hourglass_flowing_sand: Needed images to proceed with listing creation
:white_check_mark: UPC 850076186852
:white_check_mark: KW list + draft copies",,,,F0ANE0ZR23D,F0AKWC83GAC,F0AK15G2162,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HC382 - Sulforaphane with Broccoli Sprout",false,DON,":double_vertical_bar: Hold",,":pill: Supplement / Capsule","Not Started",,"Not Started","Not Started",":hourglass_flowing_sand: Needed images to proceed with listing creation
:white_check_mark: UPC 850076186845
:white_check_mark: KW list + draft copies",,,,F0AMGJVJE5R,F0AKFARHCLW,F0AK1SU0E5D,,,,,,false,,,,"Not intrestign at the moment",,":black_square_button: Not Started",":black_square_button: Not Started"
"HC306 - CreatineMagna Power/ Creatine Magneisum for women",false,DON,":double_vertical_bar: Hold",,":pill: Supplement / Capsule","Not Started",,"Not Started","Not Started",":hourglass_flowing_sand: Needed images to proceed with listing creation
:white_check_mark: UPC 850076186814
:white_check_mark: KW list + draft copies",,,,F0AQ6G94FHS,F0AKF7SMESJ,F0AKW8RUJTB,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HP208 - Glow Mushroom Coffee",false,PN,":double_vertical_bar: Hold",,":green_salad: Food",Approved,,Done,,":hourglass_flowing_sand: Awaiting main image from <@U039F5548G7> to proceed
:white_check_mark: UPC 850076186821
:white_check_mark: KW list + draft copies",,,,F0AN8PY0MCH,,,F0AMPGB3C3D,,,,,false,":lock: Locked",,,,"Not enough coffee to produce this. Packaging already printed ",":black_square_button: Not Started",":black_square_button: Not Started"
"HP207 - Calm Mushroom Coffee",false,PN,":double_vertical_bar: Hold",,":green_salad: Food",Approved,,Done,,":hourglass_flowing_sand: Awaiting main image from <@U039F5548G7> to proceed
:white_check_mark: UPC 850076186838
:white_check_mark: KW list + draft copies",,,,F0AMZELQQMA,,,F0AMPGD423D,,,,,false,,,,,"Not enough coffee to produce this. Packaging already printed ",":black_square_button: Not Started",":black_square_button: Not Started"
"HL107 - Oil Of oregano + Black seed oil",false,DON,":microscope: Niche Analysis",,":droplet: Supplement / Liquid",Approved,,"In Progress",Approved,":white_check_mark: ASIN B0GTRJVHQB
:white_check_mark: UPC 850076186869",,,,F0AMTAT8YLD,,,,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GTRJVHQB"",""attachment"":{},""displayAsUrl"":false}",,,false,,":hourglass_flowing_sand: *Changes Required.* I originally rejected this product for lack of differentiation, but because we already have the raw materials ordered, we’re moving forward with the formula.

I would add *Moringa, Soursop, and Chlorophyll* on top of our existing formula if you want to stay differentiated. Why?

• All three have high standalone search volume on Amazon.
• A Soursop-led drop doing 7k+ sales/mo already uses our exact core stack (Oregano Oil, Turmeric, Black Seed Oil) alongside Chlorophyll and Moringa, so the combo is proven already.
• The gap: this trio exists in Soursop-led drops, but nobody is running it in Oregano Oil-led drops yet

*The catch:* all three are water-soluble. Won’t work in our current EVOO oil base. We’d need to switch to a water/glycerin base (same approach as Clean Nutra’s Oregano Oil drops).

*For record,* Clean Nutra does include Soursop with their Oregano drops, but it’s buried in their SFP with zero mention on their title or packaging. We’d own it on the bottle front.

*The trade-off:* switching from oil base (0.5ml serving) to water/glycerin (2ml serving) drops our servings per container from 120 to 30. We lose the high serving count that other Oregano competitors offer, but gain a stronger formula with more keyword reach.

To conclude, we have two options:

*Option A:* Go with high servings (using an oil base), but keep the existing, undifferentiated formula.

*Option B:* Go with a differentiated formula (with a water base), but with 30 servings per bottle only.

*My take:* I would go with Option B since water-base Oregano drops still work and Clean Nutra has proven it.",,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HC742 - GLP1 Nutritional Support",false,DON,":microscope: Niche Analysis",,":pill: Supplement / Capsule",,,,,,,,,,F0AV9FK71LZ,,,,,,,false,,":white_check_mark: *Proceed*
• We have to do a GLP-1 Multi-Vitamin Capsule as a variation alongside our core GLP-1 Akkermansia Capsules. Nobody's doing this right now. I think our CVR would be solid compared to competitors who are just running 60ct, 120ct, 180ct as their variations.
• Also, demand for GLP-1 vitamins has 3x'd since I last looked, we're at 30k+ monthly SV now (attached). Trend keeps climbing like we expected (graph attached as well).
• Added this to the IDEAS list. Will dig into it more once I'm through validating everything else on the list.",,,,":black_square_button: Not Started",":black_square_button: Not Started"
"GLP-1 Psyllium Husk Powder",false,PN,":microscope: Niche Analysis",,":rice: Supplement / Powder",,,,,,,,,,,,,,,,,false,,,,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HL112 -  Methylene Blue Drops",false,DON,":gear: In Production",,":droplet: Supplement / Liquid",Requested,,"In Progress",Approved,":white_check_mark: ASIN B0GHSBVBQF
:white_check_mark: UPC 850076186661

• Product Name: Methylene Blue Drops (Spec Sheet)
• Amazon Market Validation: Here
• Supp Facts Panel: Here
• Ingredients to Order: Effepharm, JiaHerb
• Packaging Copy: Here
• Amazon Compliance Response: Cleared inactive/blocked/processing phase; new listing reactivated – PDP
• Listing Content: link",,,"F0AJ317BP6W,F0AHWK28RR9,F0AJ319B03U,F0AJ6JZQUP6,F0AJ6K0R9RS,F0AJX9C3LGG,F0AHMHF9X55,F0AJ0UXFAJ2,F0AJ6K2FRNY,F0AHZJF3HM3",F0AN0B4FKD2,F0AJXADV6BC,F0B162CG5DY,"F0AL0CYGASW,F0AKK1A6ZT9,F0ALUNLA0D6",,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GHSBVBQF"",""attachment"":{},""displayAsUrl"":false}","{""originalUrl"":""https:\/\/app.govisually.com\/collab\/646d2b0cf8569400143a1a22\/69b444a19cafb30015c07bc3"",""attachment"":{},""displayAsUrl"":false}","{""originalUrl"":""https:\/\/app.govisually.com\/collab\/646d2b0cf8569400143a1a22\/69b444b2c173270015872cd8"",""attachment"":{},""displayAsUrl"":false}",true,,":white_check_mark: *Proceed*",,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HP205 - Mushroom Slim Coffee",false,PN,":gear: In Production",,":green_salad: Food",Approved,,"In Progress",Approved,":white_check_mark: ASIN B0GFY5VMBC
:white_check_mark: UPC 850076186654",,,"F0AJ6GVTU3W,F0AHMFF2LK1,F0AJ0SVMPRU,F0AJ6H0HNR2",F0AMTPZH7GE,,,F0AMZFEQME0,,"{""originalUrl"":""https:\/\/www.amazon.com\/dp\/B0GFY5VMBC"",""attachment"":{},""displayAsUrl"":false}",,,true,":lock: Locked",":white_check_mark: *Proceed*",,,,":black_square_button: Not Started",":black_square_button: Not Started"
"HL111 - Mullein Drops w/ Soursop & Moringa",false,DON,":gear: In Production",,":droplet: Supplement / Liquid",Approved,,"In Progress",Listed/Pending,":hourglass_flowing_sand: ASIN B0GTS17PKB - Inactive/Blocked/Processing (waiting for Amazon to clear)
:white_check_mark: UPC 850076186760
:white_check_mark: KW list + draft copies",,,F0AHK6K70UC,F0ANR1UUZAL,F0AJFTEU39D,"F0ALV6678BG,F0AM0R6C11S","F0ALUMLK3H6,F0AKYCVP1KQ,F0AKX1ZHTSR",,,"{""originalUrl"":""https:\/\/app.govisually.com\/collab\/646d2b0cf8569400143a1a22\/69b442dc3979dd00153706a7"",""attachment"":{},""displayAsUrl"":false}","{""originalUrl"":""https:\/\/app.govisually.com\/collab\/646d2b0cf8569400143a1a22\/69b4432c9cafb30015c065c6"",""attachment"":{},""displayAsUrl"":false}",true,":lock: Locked",":white_check_mark: *Proceed*",,,,":black_square_button: Not Started",":black_square_button: Not Started"
